7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,Moderate Quality Wine and Quanlity Score : 5
7.5,0.58,0,6.1,0.071,17,36,0.9958,3.35,0.8,10.5,Good Quality Wine and Quanlity Score : 6
8.5,0.5,0.6,6.1,0.071,35,86,0.9958,3.45,0.8,20.5,Good Quality Wine and Quanlity Score : 6
12.8,0.615,0.66,5.8,0.083,7.0,42.0,1.0022,3.07,0.73,10.0,Good Quality Wine and Quanlity Score : 6
12.8,0.615,0.66,5.8,0.083,7.0,42.0,1.0022,5.07,0.73,10.0,Good Quality Wine and Quanlity Score : 6
10.8,0.515,0.66,5.8,0.083,7.0,42.0,1.0022,5.07,0.73,10.0,Good Quality Wine and Quanlity Score : 6
10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,10.0,Moderate Quality Wine and Quanlity Score : 5
7.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,10.0,Moderate Quality Wine and Quanlity Score : 5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
